;;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год
;;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.
все население;w2:p_mest:11;;;;;;;
Челябинская область;75000000000;3501519;3497679;3484395;3471061;3454589;3430708;3414351
Сибирский федеральный округ;35;19325113;19306835;17201745;;;;
Сибирский федеральный округ;41;;;;17145861;17061157;16946666;16702161
Республика Алтай;84000000000;216084;217535;218464;219524;220567;221256;210788
Республика Тыва;93000000000;317093;320135;323073;325902;328874;331487;336761
Республика Хакасия;95000000000;537225;537591;536840;535215;533149;530186;531611
Алтайский край;1000000000;2371227;2357880;2341447;2324983;2306753;2282266;2142941
Красноярский край;4000000000;2870895;2875898;2875261;2870140;2861077;2852534;2850935
Иркутская область;25000000000;2410850;2406548;2400979;2394478;2383107;2366078;2353904
Кемеровская область - Кузбасс;32000000000;2713235;2701860;2684566;2666055;2645650;2618859;2580125
Новосибирская область;50000000000;2770896;2784202;2791116;2795777;2792003;2783064;2795879
Омская область;52000000000;1975574;1966382;1952137;1935430;1915170;1891612;1841799
Томская область;69000000000;1077826;1078585;1077861;1078355;1074804;1069321;1057416
Дальневосточный федеральный округ;36;6188824;6173982;8205612;;;;
Дальневосточный федеральный округ;42;;;;8178913;8146628;8107649;7935220
Республика Бурятия;81000000000;983209;984322;983891;984604;985683;984029;976289
Забайкальский край;76000000000;1080998;1075894;1069296;1062742;1056592;1048476;996473
Республика Саха (Якутия);98000000000;961262;963582;965669;969502;976982;987042;997698
Камчатский край;30000000000;315422;315142;315139;313868;312341;312186;290652
Приморский край;5000000000;1926062;1918076;1907877;1899293;1886855;1870428;1831018
Хабаровский край;8000000000;1333923;1330798;1324887;1318557;1308385;1300052;1288427
Амурская область;10000000000;803720;800088;795809;791619;785944;777184;759883
Магаданская область;44000000000;145958;144830;142663;140691;139592;138401;135111
Сахалинская область;64000000000;487317;488763;489910;488947;486939;484898;463272
Еврейская автономная область;99000000000;165169;163115;160964;159109;157402;155165;148519
Чукотский автономный округ;77000000000;49990;49585;49504;49975;49908;49784;47873
